epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,21533.7,1.37951,1.08726,1.07806,0.59813,0.50211,0.52825,0.32937,1.31294,1.01565,1.0735,0.00084759,0.00084759,0.00084759
56,21931.2,1.3736,1.07717,1.0746,0.6084,0.4994,0.52944,0.33133,1.31227,1.0175,1.07315,0.000842252,0.000842252,0.000842252
57,22324.7,1.37582,1.07588,1.07408,0.60377,0.49912,0.52756,0.33072,1.30821,1.01425,1.07224,0.000836841,0.000836841,0.000836841
58,22716.8,1.36921,1.07024,1.0739,0.60132,0.50346,0.52944,0.33152,1.30517,1.01154,1.0704,0.000831359,0.000831359,0.000831359
59,23115.6,1.36843,1.07274,1.07653,0.60165,0.50413,0.53049,0.33261,1.30815,1.00844,1.07183,0.000825808,0.000825808,0.000825808
60,23508.7,1.36428,1.06512,1.07268,0.60352,0.51322,0.53227,0.33261,1.30746,1.0096,1.07056,0.000820189,0.000820189,0.000820189
61,23901.7,1.37752,1.07589,1.07579,0.60679,0.50863,0.53374,0.33384,1.30435,1.00769,1.06955,0.000814503,0.000814503,0.000814503
62,24290.2,1.36381,1.05767,1.06904,0.60844,0.50843,0.5342,0.33423,1.30512,1.00864,1.06835,0.000808752,0.000808752,0.000808752
63,24677.2,1.36142,1.06058,1.06978,0.60636,0.51196,0.53304,0.33453,1.3024,1.00242,1.06821,0.000802938,0.000802938,0.000802938
64,25068.9,1.35935,1.05838,1.06908,0.59765,0.50128,0.52542,0.32874,1.30931,1.01481,1.07317,0.00079706,0.00079706,0.00079706
65,25461.3,1.35785,1.0513,1.06899,0.60498,0.50782,0.53403,0.33456,1.30799,1.00174,1.07042,0.000791122,0.000791122,0.000791122
66,25847,1.35566,1.05238,1.06958,0.60693,0.51074,0.53611,0.33618,1.29934,0.99661,1.0667,0.000785124,0.000785124,0.000785124
67,26233.5,1.36074,1.05062,1.06961,0.60532,0.51546,0.53964,0.33841,1.29985,0.99548,1.06759,0.000779069,0.000779069,0.000779069
68,26620.8,1.35392,1.03822,1.06439,0.60998,0.51422,0.53978,0.33901,1.29987,0.99156,1.06659,0.000772956,0.000772956,0.000772956
69,27008.1,1.34842,1.036,1.06478,0.61545,0.5118,0.54159,0.34015,1.29702,0.99076,1.06561,0.000766789,0.000766789,0.000766789
70,27395.1,1.35312,1.04325,1.0662,0.62023,0.51103,0.54246,0.34017,1.29767,0.99235,1.06422,0.000760568,0.000760568,0.000760568
71,27781.9,1.35233,1.03529,1.06551,0.61415,0.51128,0.54185,0.34049,1.29969,0.98978,1.06562,0.000754296,0.000754296,0.000754296
72,28168.2,1.35025,1.034,1.06296,0.61035,0.50264,0.53665,0.33714,1.3041,0.9968,1.06821,0.000747973,0.000747973,0.000747973
73,28575.7,1.34552,1.03768,1.06359,0.61549,0.51317,0.54288,0.34137,1.29908,0.98853,1.06503,0.000741601,0.000741601,0.000741601
74,28980.2,1.34609,1.02812,1.06169,0.61844,0.51635,0.54441,0.34355,1.29774,0.98522,1.06433,0.000735181,0.000735181,0.000735181
